iso3,year,measure,unit,age_group,sex,best,lo,hi,analysed
BDI,2020,inc,num,,m,349.924275262541,0,823.909161263875,TRUE
BDI,2020,inc,num,,f,290.334458089926,0,683.602815698908,TRUE
BDI,2020,inc,num,,m,265.68320865049,0,625.560571460454,TRUE
BDI,2020,inc,num,,f,273.575131150239,0,644.142383890155,TRUE
BDI,2020,inc,num,,m,1065.18994168284,0,2508.02763192169,TRUE
BDI,2020,inc,num,,f,708.638836190397,0,1668.515363007,TRUE
BDI,2020,inc,num,,m,1782.1862205734,0,4196.22089123993,TRUE
BDI,2020,inc,num,,f,1039.83217193642,0,2448.32186047266,TRUE
BDI,2020,inc,num,,m,1591.974275014,0,3748.36009504158,TRUE
BDI,2020,inc,num,,f,888.08600539911,0,2091.03011012764,TRUE
BDI,2020,inc,num,,m,1107.23786021424,0,2607.03095275192,TRUE
BDI,2020,inc,num,,f,564.161797596804,0,1328.33903314184,TRUE
BDI,2020,inc,num,,m,876.60991383724,0,2064.00924406674,TRUE
BDI,2020,inc,num,,f,448.096576959591,0,1055.05933994146,TRUE
BDI,2020,inc,num,,m,648.404403666055,0,1526.69124765203,TRUE
BDI,2020,inc,num,,f,406.612078490671,0,957.382611702655,TRUE
BDI,2020,inc,num,15plus,m,7687.21009890081,3554.71010259521,11819.7100952064,TRUE
BDI,2020,inc,num,15plus,f,4619.33705581316,2136.06807779839,7102.60603382793,TRUE
BDI,2020,inc,num,15plus,a,12306.547154714,7485.32521036871,17127.7690990592,TRUE
BDI,2020,inc,num,a,m,7687.21009890081,3554.71010259521,11819.7100952064,TRUE
